ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2018,"2018",0,"Total",45563,9418,"Census Tract 6012.12, Los Angeles County, CA","14000US06037601212"
2018,"2018",0,"Total",64805,11948,"Census Tract 6013.01, Los Angeles County, CA","14000US06037601301"
2018,"2018",0,"Total",47944,11120,"Census Tract 6013.02, Los Angeles County, CA","14000US06037601302"
2018,"2018",0,"Total",45607,8665,"Census Tract 6013.03, Los Angeles County, CA","14000US06037601303"
2018,"2018",0,"Total",46754,6667,"Census Tract 6014.01, Los Angeles County, CA","14000US06037601401"
2018,"2018",0,"Total",55714,9149,"Census Tract 6014.02, Los Angeles County, CA","14000US06037601402"
2018,"2018",0,"Total",36515,6919,"Census Tract 6015.01, Los Angeles County, CA","14000US06037601501"
2018,"2018",0,"Total",47000,20566,"Census Tract 6017, Los Angeles County, CA","14000US06037601700"
2018,"2018",0,"Total",36594,4783,"Census Tract 6018.01, Los Angeles County, CA","14000US06037601801"
2018,"2018",0,"Total",46789,12417,"Census Tract 6018.02, Los Angeles County, CA","14000US06037601802"
2018,"2018",0,"Total",49855,9499,"Census Tract 6019, Los Angeles County, CA","14000US06037601900"
2018,"2018",0,"Total",43810,4577,"Census Tract 6020.03, Los Angeles County, CA","14000US06037602003"
2018,"2018",0,"Total",50926,8781,"Census Tract 6020.04, Los Angeles County, CA","14000US06037602004"
2018,"2018",0,"Total",47344,4163,"Census Tract 6021.04, Los Angeles County, CA","14000US06037602104"
2018,"2018",0,"Total",101765,18718,"Census Tract 7030.02, Los Angeles County, CA","14000US06037703002"
2017,"2017",0,"Total",61301,3468.9999999999995,"Census Tract 6005.01, Los Angeles County, CA","14000US06037600501"
2017,"2017",0,"Total",63304,14797.000000000002,"Census Tract 6005.02, Los Angeles County, CA","14000US06037600502"
2017,"2017",0,"Total",66111,5644,"Census Tract 6006.01, Los Angeles County, CA","14000US06037600601"
2017,"2017",0,"Total",35223,6185,"Census Tract 6006.02, Los Angeles County, CA","14000US06037600602"
2017,"2017",0,"Total",101290,18397,"Census Tract 6007.02, Los Angeles County, CA","14000US06037600702"
2017,"2017",0,"Total",66394,4320,"Census Tract 6007.03, Los Angeles County, CA","14000US06037600703"
2017,"2017",0,"Total",62813,19953,"Census Tract 6007.04, Los Angeles County, CA","14000US06037600704"
2017,"2017",0,"Total",56813,17299,"Census Tract 6008.01, Los Angeles County, CA","14000US06037600801"
2017,"2017",0,"Total",63706,13724,"Census Tract 6008.02, Los Angeles County, CA","14000US06037600802"
2017,"2017",0,"Total",33730,5442,"Census Tract 6009.02, Los Angeles County, CA","14000US06037600902"
2017,"2017",0,"Total",56875,12743,"Census Tract 6009.11, Los Angeles County, CA","14000US06037600911"
2017,"2017",0,"Total",45513,5162,"Census Tract 6009.12, Los Angeles County, CA","14000US06037600912"
2017,"2017",0,"Total",31818,10709,"Census Tract 6010.01, Los Angeles County, CA","14000US06037601001"
2017,"2017",0,"Total",41214,8013,"Census Tract 6010.02, Los Angeles County, CA","14000US06037601002"
2017,"2017",0,"Total",31566,4568,"Census Tract 6011, Los Angeles County, CA","14000US06037601100"
2017,"2017",0,"Total",58882,20114,"Census Tract 6012.02, Los Angeles County, CA","14000US06037601202"
2017,"2017",0,"Total",33750,10430,"Census Tract 6012.11, Los Angeles County, CA","14000US06037601211"
2017,"2017",0,"Total",41538,3939,"Census Tract 6012.12, Los Angeles County, CA","14000US06037601212"
2017,"2017",0,"Total",65156,14214.000000000002,"Census Tract 6013.01, Los Angeles County, CA","14000US06037601301"
2017,"2017",0,"Total",50641,8694,"Census Tract 6013.02, Los Angeles County, CA","14000US06037601302"
2017,"2017",0,"Total",40590,2527,"Census Tract 6013.03, Los Angeles County, CA","14000US06037601303"
2017,"2017",0,"Total",46791,4474,"Census Tract 6014.01, Los Angeles County, CA","14000US06037601401"
2017,"2017",0,"Total",56162,5392,"Census Tract 6014.02, Los Angeles County, CA","14000US06037601402"
2017,"2017",0,"Total",35357,7579,"Census Tract 6015.01, Los Angeles County, CA","14000US06037601501"
2017,"2017",0,"Total",37059,9351,"Census Tract 6017, Los Angeles County, CA","14000US06037601700"
2017,"2017",0,"Total",35600,4288,"Census Tract 6018.01, Los Angeles County, CA","14000US06037601801"
2017,"2017",0,"Total",46957,14512,"Census Tract 6018.02, Los Angeles County, CA","14000US06037601802"
2017,"2017",0,"Total",39668,11516,"Census Tract 6019, Los Angeles County, CA","14000US06037601900"
2017,"2017",0,"Total",41351,3851,"Census Tract 6020.03, Los Angeles County, CA","14000US06037602003"
2017,"2017",0,"Total",40587,6511,"Census Tract 6020.04, Los Angeles County, CA","14000US06037602004"
2017,"2017",0,"Total",47005,5990,"Census Tract 6021.04, Los Angeles County, CA","14000US06037602104"
2017,"2017",0,"Total",100909,16101,"Census Tract 7030.02, Los Angeles County, CA","14000US06037703002"
2016,"2016",0,"Total",57054,7901,"Census Tract 6005.01, Los Angeles County, CA","14000US06037600501"
2016,"2016",0,"Total",56744,11206,"Census Tract 6005.02, Los Angeles County, CA","14000US06037600502"
2016,"2016",0,"Total",62281,4902,"Census Tract 6006.01, Los Angeles County, CA","14000US06037600601"
2016,"2016",0,"Total",30644,5216,"Census Tract 6006.02, Los Angeles County, CA","14000US06037600602"
2016,"2016",0,"Total",86842,27704,"Census Tract 6007.02, Los Angeles County, CA","14000US06037600702"
2016,"2016",0,"Total",67090,7896,"Census Tract 6007.03, Los Angeles County, CA","14000US06037600703"
2016,"2016",0,"Total",65144,18471,"Census Tract 6007.04, Los Angeles County, CA","14000US06037600704"
2016,"2016",0,"Total",55741,22280,"Census Tract 6008.01, Los Angeles County, CA","14000US06037600801"
2016,"2016",0,"Total",51922,5231,"Census Tract 6008.02, Los Angeles County, CA","14000US06037600802"
2016,"2016",0,"Total",35725,6234,"Census Tract 6009.02, Los Angeles County, CA","14000US06037600902"
2016,"2016",0,"Total",51875,13850.999999999998,"Census Tract 6009.11, Los Angeles County, CA","14000US06037600911"
2016,"2016",0,"Total",43721,3249,"Census Tract 6009.12, Los Angeles County, CA","14000US06037600912"
2016,"2016",0,"Total",27667,7548.000000000001,"Census Tract 6010.01, Los Angeles County, CA","14000US06037601001"
2016,"2016",0,"Total",42222,7505.999999999999,"Census Tract 6010.02, Los Angeles County, CA","14000US06037601002"
2016,"2016",0,"Total",31213,1824.0000000000002,"Census Tract 6011, Los Angeles County, CA","14000US06037601100"
2016,"2016",0,"Total",48382,19507,"Census Tract 6012.02, Los Angeles County, CA","14000US06037601202"
2016,"2016",0,"Total",37841,11211,"Census Tract 6012.11, Los Angeles County, CA","14000US06037601211"
2016,"2016",0,"Total",39788,3433.9999999999995,"Census Tract 6012.12, Los Angeles County, CA","14000US06037601212"
2016,"2016",0,"Total",60625,9939,"Census Tract 6013.01, Los Angeles County, CA","14000US06037601301"
2016,"2016",0,"Total",47658,6197,"Census Tract 6013.02, Los Angeles County, CA","14000US06037601302"
2016,"2016",0,"Total",38091,4396,"Census Tract 6013.03, Los Angeles County, CA","14000US06037601303"
2016,"2016",0,"Total",42628,7293.999999999999,"Census Tract 6014.01, Los Angeles County, CA","14000US06037601401"
2016,"2016",0,"Total",55531,5104,"Census Tract 6014.02, Los Angeles County, CA","14000US06037601402"
2016,"2016",0,"Total",34563,7385,"Census Tract 6015.01, Los Angeles County, CA","14000US06037601501"
2016,"2016",0,"Total",32479,8229,"Census Tract 6017, Los Angeles County, CA","14000US06037601700"
2016,"2016",0,"Total",33984,5292,"Census Tract 6018.01, Los Angeles County, CA","14000US06037601801"
2016,"2016",0,"Total",43063,8314,"Census Tract 6018.02, Los Angeles County, CA","14000US06037601802"
2016,"2016",0,"Total",39271,12570,"Census Tract 6019, Los Angeles County, CA","14000US06037601900"
2016,"2016",0,"Total",38516,4599,"Census Tract 6020.03, Los Angeles County, CA","14000US06037602003"
2016,"2016",0,"Total",39730,5455,"Census Tract 6020.04, Los Angeles County, CA","14000US06037602004"
2016,"2016",0,"Total",44731,4625,"Census Tract 6021.04, Los Angeles County, CA","14000US06037602104"
2016,"2016",0,"Total",89674,21200,"Census Tract 7030.02, Los Angeles County, CA","14000US06037703002"
2015,"2015",0,"Total",58425,4799,"Census Tract 6005.01, Los Angeles County, CA","14000US06037600501"
2015,"2015",0,"Total",57262,12823,"Census Tract 6005.02, Los Angeles County, CA","14000US06037600502"
2015,"2015",0,"Total",62841,5512,"Census Tract 6006.01, Los Angeles County, CA","14000US06037600601"
2015,"2015",0,"Total",26833,5174,"Census Tract 6006.02, Los Angeles County, CA","14000US06037600602"
2015,"2015",0,"Total",71169,19005,"Census Tract 6007.02, Los Angeles County, CA","14000US06037600702"
2015,"2015",0,"Total",65885,7246,"Census Tract 6007.03, Los Angeles County, CA","14000US06037600703"
2015,"2015",0,"Total",66607,13242,"Census Tract 6007.04, Los Angeles County, CA","14000US06037600704"
2015,"2015",0,"Total",62232,18445,"Census Tract 6008.01, Los Angeles County, CA","14000US06037600801"
2015,"2015",0,"Total",52955,16611,"Census Tract 6008.02, Los Angeles County, CA","14000US06037600802"
2015,"2015",0,"Total",34780,6134,"Census Tract 6009.02, Los Angeles County, CA","14000US06037600902"
2015,"2015",0,"Total",50842,9148,"Census Tract 6009.11, Los Angeles County, CA","14000US06037600911"
2015,"2015",0,"Total",43847,3710,"Census Tract 6009.12, Los Angeles County, CA","14000US06037600912"
2015,"2015",0,"Total",22047,3858.9999999999995,"Census Tract 6010.01, Los Angeles County, CA","14000US06037601001"
2015,"2015",0,"Total",40864,5658,"Census Tract 6010.02, Los Angeles County, CA","14000US06037601002"
2015,"2015",0,"Total",30375,4360,"Census Tract 6011, Los Angeles County, CA","14000US06037601100"
2015,"2015",0,"Total",42038,5735,"Census Tract 6012.02, Los Angeles County, CA","14000US06037601202"
2015,"2015",0,"Total",35816,7856,"Census Tract 6012.11, Los Angeles County, CA","14000US06037601211"
2015,"2015",0,"Total",39375,7181.999999999999,"Census Tract 6012.12, Los Angeles County, CA","14000US06037601212"
2015,"2015",0,"Total",60625,7990,"Census Tract 6013.01, Los Angeles County, CA","14000US06037601301"
2015,"2015",0,"Total",46960,6175,"Census Tract 6013.02, Los Angeles County, CA","14000US06037601302"
2015,"2015",0,"Total",33000,4179,"Census Tract 6013.03, Los Angeles County, CA","14000US06037601303"
2015,"2015",0,"Total",41338,5131,"Census Tract 6014.01, Los Angeles County, CA","14000US06037601401"
2015,"2015",0,"Total",50938,12363,"Census Tract 6014.02, Los Angeles County, CA","14000US06037601402"
2015,"2015",0,"Total",32459,6246,"Census Tract 6015.01, Los Angeles County, CA","14000US06037601501"
2015,"2015",0,"Total",32437,14087,"Census Tract 6017, Los Angeles County, CA","14000US06037601700"
2015,"2015",0,"Total",31969,5430,"Census Tract 6018.01, Los Angeles County, CA","14000US06037601801"
2015,"2015",0,"Total",36760,10702,"Census Tract 6018.02, Los Angeles County, CA","14000US06037601802"
2015,"2015",0,"Total",34195,6958,"Census Tract 6019, Los Angeles County, CA","14000US06037601900"
2015,"2015",0,"Total",36676,4235,"Census Tract 6020.03, Los Angeles County, CA","14000US06037602003"
2015,"2015",0,"Total",37832,3549,"Census Tract 6020.04, Los Angeles County, CA","14000US06037602004"
